pseudohaplotype1_scaffold	length	start	end	strand	chrom	length	start	end	seq_identity
381318	9192	0	9191	-	scaffold-Z	113984505	107550770	107560310	97.0881
343064	5462	0	5461	-	scaffold-Z	113984505	107542527	107547776	97.1171
368859	6085	0	6084	+	scaffold-Z	113984505	107532672	107540900	97.2246
390557	39570	0	39569	+	scaffold-Z	113984505	107472164	107512300	99.1431
377538	9454	0	9453	-	scaffold-Z	113984505	107461035	107472202	96.2376
381017	14682	0	14681	+	scaffold-Z	113984505	107445581	107460181	97.9637
334664	8941	0	8940	+	scaffold-Z	113984505	107424456	107433413	98.7127
381316	16277	0	16276	-	scaffold-Z	113984505	107392329	107407467	98.7769
448315	6848	0	6847	+	scaffold-Z	113984505	107382266	107389273	99.3519
316222	5747	0	5746	+	scaffold-Z	113984505	107375650	107380952	98.9985
381729	10754	5000	10753	+	scaffold-Z	113984505	107363649	107369255	98.9765
311836	11854	0	11853	+	scaffold-Z	113984505	107342203	107354155	99.7972
355957	10020	0	9999	-	scaffold-Z	113984505	107327324	107335571	98.0495
352436	6326	0	6325	-	scaffold-Z	113984505	107319656	107326029	97.4658
376675	7585	0	7584	+	scaffold-Z	113984505	107306412	107314160	99.0569
329153	7317	0	7316	-	scaffold-Z	113984505	107297491	107305172	98.1058
354535	5676	676	5675	+	scaffold-Z	113984505	107293223	107298222	95.4127
332305	7341	0	4999	+	scaffold-Z	113984505	107289543	107294542	99.3415
363166	9935	0	9934	+	scaffold-Z	113984505	107241256	107251970	97.5967
360278	5588	0	5587	+	scaffold-Z	113984505	107216625	107222737	97.9301
294325	11108	0	11107	-	scaffold-Z	113984505	107205250	107215948	99.8097
367791	6114	0	6113	-	scaffold-Z	113984505	107194255	107200017	97.9591
331922	7124	0	7123	+	scaffold-Z	113984505	107186677	107194152	99.2177
360500	5126	0	5125	-	scaffold-Z	113984505	107178945	107183964	98.8235
371962	10050	0	10049	+	scaffold-Z	113984505	107140752	107151945	98.7899
381679	13020	0	13019	-	scaffold-Z	113984505	107116768	107130444	98.4542
360799	7336	0	4999	-	scaffold-Z	113984505	107107137	107112136	94.2732
382357	11370	0	11369	-	scaffold-Z	113984505	107080647	107091986	99.2115
292032	5758	0	5757	-	scaffold-Z	113984505	107073787	107078944	97.4581
381538	9293	0	9292	+	scaffold-Z	113984505	107062820	107072999	98.084
359473	5854	854	5853	-	scaffold-Z	113984505	107057260	107062259	97.1751
387484	49910	0	49909	-	scaffold-Z	113984505	106998076	107044216	98.7448
382355	13789	0	13788	-	scaffold-Z	113984505	106984574	106996561	97.4403
388463	10154	0	10153	+	scaffold-Z	113984505	106978352	106988359	98.2422
263278	5794	0	5793	-	scaffold-Z	113984505	106965347	106970908	96.0712
335546	10554	0	10553	-	scaffold-Z	113984505	106954418	106964765	99.0623
315972	7028	0	7027	+	scaffold-Z	113984505	106929823	106938190	97.1816
375582	13309	0	13308	+	scaffold-Z	113984505	106880315	106893499	98.0498
390274	34541	0	34540	-	scaffold-Z	113984505	106831941	106869828	98.5337
371168	6108	0	6107	+	scaffold-Z	113984505	106822271	106828381	98.2423
329932	9877	0	9876	-	scaffold-Z	113984505	106813941	106821039	96.2825
309887	6957	0	6956	-	scaffold-Z	113984505	106808740	106815088	98.6482
309845	8419	0	8418	+	scaffold-Z	113984505	106795378	106804747	98.6505
